Estado;Código;Título;Descrição;Notas de aplicação;Exemplos de NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Normalização Forma de contagem do prazo de cons. adm.;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;;

;350;ADMINISTRAÇÃO FINANCEIRA;Relativo à execução orçamental (no que se incluem os processamentos de despesas e de arrecadação de receitas), à gestão do Tesouro, da dívida e das aplicações financeiras.;Abrange a execução do conjunto dos orçamentos de receita e de despesa (correntes e de capital) dos serviços públicos e fundos autónomos#;;"Os procedimentos de preparação do orçamento e das alterações orçamentais, cativação/descativação de verbas, e a prestação de contas, devem ser considerados em ""Planeamento e gestão estratégica/Planeamento, avaliação e melhoria dos serviços"" (150.20);
O exercício de direitos de acionista deve ser considerado na área a que diz respeito o exercício de cada processo em concreto – ""Planeamento e gestão estratégia"" (150), ""Ordenamento jurídico e normativo"" (100), entre outras;
O controlo da emissão e circulação de moeda deve ser considerado no âmbito da ""Supervisão, controlo e responsabilização"" (500) ou do ""Ordenamento jurídico e normativo"" (100), de acordo com o processo em causa.";;;;;;;;;;;;;;;;;;;;;;

;350.10;Execução orçamental;"Compreende a contabilização da despesa e a liquidação de receita, no que se inclui a gestão dos impostos e das contribuições.
Considerar aqui a operação orçamental de reconhecimento dos direitos dos credores e das obrigações assumidas, nomeadamente nas fases de registo contabilístico de cabimento, compromisso e liquidação. Inclui a certificação de despesas, tendo por base os títulos e documentos do respetivo crédito ou habilitação ao benefício e a informação para entrega de recursos equivalentes à dívida liquidada ao credor.
Considerar igualmente aqui no âmbito da gestão de imposto, as atividades relacionadas com o ato declarativo, o controlo de faltosos, o controlo de divergências e a liquidação.
Compreende ainda o calculo e/ou lançamento de receitas provenientes da prestação de serviços (taxas) e da venda de produtos.
Inclui o processamento de isenção, redução ou fracionamento.";"Processamento de remunerações#
Processamento de indemnizações#
Processamento das despesas de aquisição#
Processamento de transferência de verbas#
Processamento de liquidação de imposto#
Pretende-se que esta classe seja utilizada genericamente pela Administração, mas também pela Autoridade Tributária e demais entidades que processem receitas públicas derivadas de impostos e contribuições#";"Processamento de remunerações (cálculo e lançamento da remuneração e de todos os abonos e descontos devidos a cada trabalhador e eleito)#
Processamento de indemnizações (cálculo e lançamento da despesa relativa a qualquer tipo de indemnização devida. Inclui por cessação de funções públicas, expropriação, danos provocados a outrem, entre outras)#
Processamento das despesas de aquisição (cálculo e lançamento da despesa corrente, proveniente da aquisição de bens e serviços, bem como a despesa de investimento; inclui o processamento da despesa tida com os fundos de maneio)#";"A elaboração do orçamento e a prestação de contas devem ser considerados em ""Planeamento e gestão estratégica/ Planeamento, avaliação e melhoria de serviços"" (150.20);
O pagamento e o recebimento/cobrança, enquanto fluxos financeiro, deve ser considerado em ""Administração financeira/ Gestão de tesouraria"" (350.30);
O controlo dos montantes em dívida deve ser considerado em ""Administração financeira/ Gestão da dívida e dos créditos públicos"" (350.40);
O processamento de contraordenações e reclamações graciosas deve ser considerado em ""Supervisão, controlo e responsabilização/ Ação sancionatória e cautelar"" (500.30);
As penhoras judiciais e consequentes execuções devem ser consideradas em ""Administração da Justiça/ Execução de penas, medidas e títulos executivos"" (600.40);
O registo de contribuintes deve ser considerado em ""Identificação e registo/Registo de dados de identificação e caracterização de entidades ou atos"" (400.10).";;;;;;;;;;;;;;;;;;;;;;

;350.10.001;Alteração orçamental;"Reforço de dotações de despesas resultantes da diminuição ou anulação de outras dotações, materializando-se em transferências inter-rubricas da despesa, sem haver lugar a aumento global da despesa prevista, assim como reforços ou inscrições de dotações de despesas, fruto da contração de empréstimos ou de outras receitas legalmente consignadas.
Inicia com a necessidade da alteração orçamental e termina com a comunicação da decisão.
Inclui as propostas de alteração e a respetiva alteração.";;;"A revisão orçamental deve ser considerada em 150.20.202 – Preparação do orçamento#

";"DL 54-A/99#
DL 84-A/2002#";"Lei do Orçamento do Estado#
Decreto Lei de Execução Orçamental#
Lei de Enquadramento Orçamental#";PC;S;AP#;"DGO#
MF#";"Iniciar#
Decidir#";"150.20.200#
150.20.202#
150.20.400#
150.20.401#
150.20.404#
350.10.500#
350.10.600#
500.10.001#";"Planeamento de necessidades de recursos humanos#
Preparação do orçamento#
Acompanhamento da execução orçamental#
Acompanhamento de liquidação de entidades#
Prestação de contas#
Apuramento da transferência de verbas entre entidades#
Lançamento de receitas e de despesas#
Realização de auditorias#
";"Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Suplementar#";Reduzida;S;10;;"#Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei nº 98/97], artº 70º, nº 1);
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (no que diz respeito à atuação da Administração).";Data de conclusão do procedimento;Data de encerramento do processo.;E;"#Critério de densidade informacional:
Informação síntese recuperável no PN 150.20.404 - Prestação de contas.";;;

;350.10.002;Antecipação de duodécimos;"Pedido para antecipação de duodécimos das dotações orçamentais, formalizado quando os pagamentos a efetuar, devido a razões imprevisíveis, ultrapassem o saldo do duodécimo vencido nas respetivas rubricas orçamentais.  
Inicia com o pedido da necessidade e informação de suporte e termina com a notificação da aprovação ou rejeição do pedido.";;;;;"Decreto Lei de Execução Orçamental#
Lei de Enquadramento Orçamental#
Lei do Orçamento do Estado#";PC;S;AP#;AP#;Iniciar#;"150.20.404#
500.10.001#";"Prestação de contas#
Realização de auditorias#
";"Síntese (sintetizado)#
Suplementar#";Reduzida;S;10;;"#Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei nº 98/97], artº 70º, nº 1);
- Utilidade administrativa
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (no que diz respeito à atuação da Administração).";Data de conclusão do procedimento;"Data de encerramento do processo.
";E;"#Critério de densidade informacional:
Informação síntese recuperável no PN 150.20.404 - Prestação de contas.";;;

;350.10.100;Liquidação de Imposto Sobre o Rendimento de Pessoas Singulares (IRS);"Apuramento do Imposto Sobre o Rendimento de Pessoas Singulares (IRS) dos sujeitos passivos.
Inicia com a apresentação da declaração anual de IRS pelos sujeitos passivos ou mediante iniciativa da Administração Tributária, e termina com a notificação do resultado da liquidação.
Inclui todos os procedimentos para liquidação do imposto, nomeadamente a validação da declaração e o cálculo do imposto.
";"Apuramento do rendimento tributável do regime simplificado#
Apuramento do IRS consignado#";;"O pagamento do imposto deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#
A revisão oficiosa da liquidação deve ser considerada em 350.10.515 – Revisão de atos tributários#";"DL 442-A/88#
";;PC;S;AT#; AP#;Iniciar#;"150.20.404#
350.10.102#
350.10.504#
350.10.515#
350.10.600#
350.30.001#
500.10.001#
600.30.551#
850.30.002#";"Prestação de contas#
Revisão do lucro tributável determinado por métodos indiretos#
Processamento de benefícios e incentivos fiscais e aduaneiros não contratuais#
Revisão de atos tributários#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#
Realização de auditorias#
Impugnação judicial tributária#
Processamento de benefícios e incentivos contratuais ao investimento#";"Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#";Elevada;S;"10



";;"#Critério legal:
[DL 433/99], CPPT, artº 27, nº 2 ""Os arquivos [procedimentos administrativos e processos judiciais tributários instaurados] são obrigatoriamente mantidos durante 10 anos (...)"".";Data de conclusão do procedimento;A contar da data da conclusão do processo ou do trânsito em julgado da decisão judicial (impugnação da liquidação).;E;"#Critério de densidade informacional:
Informação síntese recuperável no PN 150.20.404 - Prestação de contas.";;;

;350.10.101;Liquidação de Imposto Sobre o Rendimento de Pessoas Coletivas (IRC);"Apuramento do Imposto Sobre o Rendimento de Pessoas Coletivas (IRC) dos sujeitos passivos.
Inicia com a apresentação da declaração anual de IRC pelos sujeitos passivos ou mediante iniciativa da Administração Tributária, e termina com a notificação do resultado da liquidação.
Inclui todos os procedimentos para liquidação do imposto, nomeadamente a validação da declaração e o cálculo do imposto.";"Apuramento do rendimento tributável por métodos indiretos#
Apuramento do rendimento tributável do regime simplificado#";;"O pagamento do imposto deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#
A revisão oficiosa da liquidação deve ser considerada em 350.10.515 – Revisão de atos tributários#";DL 442-B/88#;;PC;S;AT#;AP#;Iniciar#;"150.20.404#
350.10.600#
350.10.102#
350.10.504#
350.10.515#
350.30.001#
450.10.808#
500.10.001#
600.30.551#
850.30.002#";"Prestação de contas#
Lançamento de receitas e de despesas#
Revisão do lucro tributável determinado por métodos indiretos#
Processamento de benefícios e incentivos fiscais e aduaneiros não contratuais#
Revisão de atos tributários#
Cobrança de receitas e pagamento de despesas#
Autorização excecional#
Realização de auditorias#
Impugnação judicial tributária#
Processamento de benefícios e incentivos contratuais ao investimento#
";"Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#
";Elevada;S;"10



";;"#Critério legal:
[DL 433/99], CPPT, artº 27, nº 2 ""Os arquivos [procedimentos administrativos e processos judiciais tributários instaurados] são obrigatoriamente mantidos durante 10 anos (...)"".";Data de conclusão do procedimento;A contar da data da conclusão do processo ou do trânsito em julgado da decisão judicial (impugnação da liquidação).;E;"#Critério de densidade informacional:
Informação síntese recuperável no PN 150.20.404 - Prestação de contas.";"Pela Lei n.º 7-A/2016, de 30 de Março (Orçamento de Estado 2016) o nº 4, do art. 123º do Código do Imposto sobre o Rendimento das Pessoas Coletivas, aprovado pelo Decreto-Lei n.º 442-B/88, republicado pela Lei n.º 2/2014 e alterado pelo Decreto-Lei n.º 162/2014 e pelas Leis n.os 82-B/2014, 82-C/2014, 82-D/2014 e 5/2016 passa a ter a seguinte redação: ""Os livros, registos contabilísticos e respetivos documentos de suporte devem ser conservados em boa ordem durante o prazo de 10 anos.""
Desta forma é revogada a disposição da Lei n.º 2/2014, que alterara para 12 anos a conservação destes documentos Art. 123.º,  ""4 - Os livros, registos contabilísticos e respetivos documentos de suporte devem ser conservados em boa ordem durante o prazo de 12 anos."" ";;

;"350.10.102

";Revisão do lucro tributável determinado por métodos indiretos;"Procedimento de revisão do lucro tributável fixado por métodos indiretos visando o estabelecimento de um acordo quanto ao valor da matéria coletável a considerar para efeitos de liquidação.
Inicia com o pedido de revisão, devidamente fundamentado, a apresentar pelo sujeito passivo, com a indicação do perito que o representa, e termina com a notificação do acordo entre os peritos ou, na sua falta, com a notificação da decisão do órgão competente para a fixação da matéria coletável.
Inclui a nomeação de perito independente, e a realização de uma reunião entre os peritos para estabelecimento de um acordo.
";"Revisão normal e excecional do lucro tributável fixado por métodos indiretos tendo em vista a discussão dos pressupostos ou a quantificação da matéria coletável#
Casos em que ainda não se efetuou a liquidação, exceto no caso da revisão excecional do lucro tributável que pode ser efetuada nos três anos posteriores à liquidação#";;"As correções técnicas e as questões de direito são consideradas em 350.10.100 – Liquidação de Imposto Sobre o Rendimento de Pessoas Singulares (IRS) ou em 350.10.101 – Liquidação de Imposto sobre o Rendimento de Pessoas Coletivas (IRC)#
A revisão dos atos tributários deve ser considerada em 350.10.515 – Revisão de atos tributários#";"DL 398/98#
DL 442-A/88#
DL 442-B/88#";"DL 398/98, art 91 e 92#
DL 442-A/88, art 67#
DL 442-B/88, art 61 e 62#";PE;N;AT#;;;"150.20.404#
350.10.100#
350.10.101#
500.10.001#";"Prestação de contas#
Liquidação de Imposto Sobre o Rendimento de Pessoas Singulares (IRS)#
Liquidação de Imposto Sobre o Rendimento de Pessoas Coletivas (IRC)#
Realização de auditorias#";"Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Suplementar#";Elevada;S;"10







";;"#Critério legal:
[DL 433/99], CPPT, artº 27, nº 2 ""Os arquivos [procedimentos administrativos e processos judiciais tributários instaurados] são obrigatoriamente mantidos durante 10 anos (...)"".";Data de conclusão do procedimento;A contar da data da conclusão do processo.;E;"#Critério de densidade informacional:
Informação síntese recuperável em
350.10.100 - Liquidação de Imposto Sobre o Rendimento de Pessoas Singulares (IRS);
350.10.101 - Liquidação de Imposto Sobre o Rendimento de Pessoas Coletivas (IRC)
São sintetizados em
150.20.404 - Prestação de contas.";;;

;350.10.200;Liquidação de Imposto Municipal Sobre Imóveis (IMI);"Apuramento do Imposto Municipal sobre Imóveis (IMI) a pagar pelos sujeitos passivos, tendo por base o valor patrimonial inscrito nas matrizes prediais (rústicas e urbanas) em 31 de dezembro de cada ano, excetuando os valores dos prédios isentos.
Inicia com o cálculo do imposto a pagar (mediante a aplicação da taxa ao valor patrimonial) e termina com a notificação da nota de liquidação ao sujeito passivo.
Inclui a validação dos dados.";;;"O pagamento do imposto deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#
A revisão oficiosa da liquidação deve ser considerada em 350.10.515 – Revisão de atos tributários#";"Lei 73/2013#
DL 287/2003#";;PE;S;AT#;AL;Apreciar#;"150.20.404#
300.30.600#
350.10.504#
350.10.515#
350.10.600#
350.30.001#
400.10.407#
500.10.001#
600.30.551#
850.30.002#";"Prestação de contas#
Avaliação de bens imóveis#
Processamento de benefícios e incentivos fiscais e aduaneiros não contratuais#
Revisão de atos tributários#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#
Registo de prédios nas matrizes prediais#
Realização de auditorias#
IImpugnação judicial tributária#
Processamento de benefícios e incentivos contratuais ao investimento#";"Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Cruzada#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#";Elevada;S;"10



";;"#Critério legal:
[DL 433/99], CPPT, artº 27, nº 2 ""Os arquivos [procedimentos administrativos e processos judiciais tributários instaurados] são obrigatoriamente mantidos durante 10 anos (...)"".";Data de conclusão do procedimento;A contar da data da conclusão do processo ou do trânsito em julgado da decisão judicial (impugnação da liquidação).;E;"#Critério de densidade informacional:
Informação síntese recuperável no PN 150.20.404 - Prestação de contas.";;;

;350.10.201;Liquidação de Imposto Municipal Sobre Transmissões Onerosas de Imóveis (IMT);"Apuramento do Imposto Municipal Sobre Transmissões Onerosas de Imóveis (IMT).
Inicia com a apresentação da declaração para liquidação de IMT pelos sujeitos passivos ou mediante iniciativa da Administração Tributária, e termina com a notificação do resultado da liquidação aos sujeitos passivos.
Inclui todos os procedimentos para liquidação do imposto, nomeadamente a validação da declaração e o cálculo do imposto.";;;"O pagamento do imposto deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#
A revisão oficiosa da liquidação deve ser considerada em 350.10.515 – Revisão de atos tributários#";DL 287/2003#;;PE;S;AT#;AL;"Apreciar#
";"150.20.404#
350.10.504#
350.10.515#
350.10.600#
350.30.001#
400.10.407#
400.30.001#
500.10.001#
500.10.301#
600.30.551#
850.30.002#";"Prestação de contas#
Processamento de benefícios e incentivos fiscais e aduaneiros não contratuais#
Revisão de atos tributários#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#
Registo de prédios nas matrizes prediais#
Celebração de contratos, escrituras, títulos equivalentes e testamentos#
Realização de auditorias#
Realização de fiscalização#
Impugnação judicial tributária#
Processamento de benefícios e incentivos contratuais ao investimento#";"Síntese (sintetizado)#
sucessão (antecessor)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Cruzada#
Suplementar#
sucessão(antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
";Elevada;S;"10


";;"#Critério legal:
[DL 433/99], CPPT, artº 27, nº 2 ""Os arquivos [procedimentos administrativos e processos judiciais tributários instaurados] são obrigatoriamente mantidos durante 10 anos (...)"".";Data de conclusão do procedimento;A contar da data da conclusão do processo ou do trânsito em julgado da decisão judicial (impugnação da liquidação).;C;"#Critério de densidade informacional:
Informação que comprova direitos reais que não prescrevem com o tempo, implicando a conservação de toda a informação do processo e não apenas uma síntese da liquidação noutro processo de negócio;
#Critério legal:
(ver direitos reais do Código Civil)
Constitui prova das transmissões de bens com tradição/posse.";;;

;350.10.202;Liquidação de Contribuição Especial;"Apuramento da Contribuição Especial devida pela valorização extraordinária de imóveis (prédios rústicos e terrenos para construção), decorrente da realização de determinados investimentos (ex: construção de vias rodoviárias e ferroviárias, portos e aeroportos).
Inicia com a apresentação da declaração de Contribuição Especial, pelos sujeitos passivos ou mediante iniciativa da Administração Tributária, e termina com a notificação da nota de liquidação.
Inclui todos os procedimentos para liquidação do imposto, nomeadamente a validação da declaração e o cálculo do imposto.
";;;"O pagamento do imposto deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#
A revisão oficiosa da liquidação deve ser considerada em 350.10.515 – Revisão de atos tributários#.";"DL 43/98#
DL 54/95#
";;PE;N;AT#;;;"150.20.404#
300.30.600#
350.10.504#
350.10.515#
350.10.600#
350.30.001#
400.10.407#
500.10.001#
600.30.551#
850.30.002#";"Prestação de contas#
Avaliação de bens imóveis#
Processamento de benefícios e incentivos fiscais e aduaneiros não contratuais#
Revisão de atos tributários#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#
Registo de prédios nas matrizes prediais#
Realização de auditorias#
Impugnação judicial tributária#
Processamento de benefícios e incentivos contratuais ao investimento#";"Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#";Média;S;10;;"#Critério legal:
[DL 433/99], CPPT, artº 27, nº 2 ""Os arquivos [procedimentos administrativos e processos judiciais tributários instaurados] são obrigatoriamente mantidos durante 10 anos (...)"".";Data de conclusão do procedimento;A contar da data da conclusão do processo ou do trânsito em julgado da decisão judicial (impugnação da liquidação).;E;"#Critério de densidade informacional:
Informação síntese recuperável no PN 150.20.404 - Prestação de contas.";;;

;350.10.203;Liquidação de Imposto Único de Circulação (IUC);"Apuramento do Imposto Único de Circulação (IUC), que incide sobre os veículos das diversas categorias previstas no Código do Imposto Único de Circulação (CIUC).
Inicia com o preenchimento da declaração eletrónica no portal da AT pelos sujeitos passivos ou mediante iniciativa da Administração Tributária e termina com a emissão do documento único de cobrança (DUC) para efeitos de pagamento.
Inclui todos os procedimentos para liquidação do imposto, nomeadamente a validação dos dados e o cálculo do imposto.";"Tributação de veículos matriculados ou registados em território nacional#
Veículos não sujeitos a matrícula em Portugal e que não sejam veículos de mercadorias com certas características, desde que permaneçam em território nacional por determinado período de tempo#";;"O pagamento do imposto deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#
A revisão oficiosa da liquidação deve ser considerada em 350.10.515 – Revisão de atos tributários#";Lei 22-A/2007#;;PE;N;AT#;;;"150.20.404#
350.10.504#
350.10.515#
350.10.600#
350.30.001#
500.10.001#
600.30.551#
850.30.002#";"Prestação de contas#
Processamento de benefícios e incentivos fiscais e aduaneiros não contratuais#
Revisão de atos tributários#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#
Realização de auditorias#
Impugnação judicial tributária#
Processamento de benefícios e incentivos contratuais ao investimento#";"Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#";Média;S;10;;"#Critério legal:
[DL 433/99], CPPT, artº 27, nº 2 ""Os arquivos [procedimentos administrativos e processos judiciais tributários instaurados] são obrigatoriamente mantidos durante 10 anos (...)"".";Data de conclusão do procedimento;A contar da data da conclusão do processo ou do trânsito em julgado da decisão judicial (impugnação da liquidação).;E;"#Critério de densidade informacional:
Informação síntese recuperável no PN 150.20.404 - Prestação de contas.";;;

