Estado;Código;Título;Descrição;Notas de aplicação;Exemplos de NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Normalização Forma de contagem do prazo de cons. adm.;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;;
;350.10.505;Processamento de cauções;"Prestação ou recebimento de garantia, entre administrações públicas ou entre a administração pública e privados.
Inicia com a apresentação do direito ou dever garantido e termina com a sua liberação.
Inclui o registo do direito ou dever garantido, pode incluir o acionamento da caução.";"Precaução de eventual falta de cumprimento de alguma obrigação#
Pedido de liberação de caução#
Garantias prestadas pelos operadores económicos quando as suas mercadorias são suscetíveis de dívida aduaneira#
";;;"DL 190/2012#
DL 18/2008#";;PC;N;AP#;;;"150.20.404#
300.10.001#
300.10.005#
350.10.600#
350.30.004#
500.10.001#

";"Prestação de contas#
Contratação de empreitadas de obras públicas#
Transação e transmissão de bens móveis não culturais e contratação de serviços#
Lançamento de receitas e de despesas#
Movimentação de contas bancárias#
Realização de auditorias#";"Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Suplementar#

";Reduzida;S;"10

";;"#Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1);
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (no que diz respeito à atuação da Administração).

";Data de conclusão do procedimento;Data de encerramento do processo.;E;"#Critério de densidade informacional:
Informação síntese recuperável no PN 150.20.404 - Prestação de contas.";;;

;350.10.506;Comparticipação em despesas de saúde ao beneficiário;"Apuramento de montantes de reembolso a beneficiários de um sistema de saúde despendidos com encargos relativos a cuidados de saúde comparticipado em regime livre.
Inicia com a apresentação de documentos de despesa por parte do trabalhador e termina com o crédito em conta calculado nos termos da respetiva tabela.
Inclui a codificação e a validação das despesas.";Beneficiários de subsistemas de saúde, como a Direção-Geral de Proteção Social aos Trabalhadores em Funções Públicas (ADSE) e a Assistência na Doença aos Militares (ADM)#;;;"DL 118/83#
DL 234/2005#";DL 118/83 (atualizado pelo DL 234/2005)#;PC;S;ESPS#;AP#;Iniciar#;"150.20.404#
350.10.600#
350.30.001#
350.30.003#
350.30.004#
500.10.001#
700#";"Prestação de contas#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#
Controlo sistemático de numerário e valores#
Movimentação de contas bancárias#
Realização de auditorias#
Prestação de cuidados de saúde#
";"Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Suplementar#
Sucessão (sucessor)#
";Reduzida;S;10;;"#Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1);
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (no que diz respeito à atuação da Administração).

";Data de conclusão do procedimento;Data de encerramento do processo.;E;"#Critério de densidade informacional:
Informação sintetizada no PN 150.20.404 - Prestação de contas.";;;

;350.10.507;Processamento de despesas de saúde a prestadores de serviços e farmácias;"Processamento de despesas de saúde com entidades prestadoras de cuidados de saúde e farmácias por força de acordos estabelecidos entre estas e os diversos subsistemas de saúde ou entidades públicas comparticipantes.
Inicia com a receção da comunicação da despesa (faturação) e termina com a comunicação dos montantes a pagar.
Inclui conferência e validação das despesas realizadas em prestadores convencionados e farmácias, e o apuramento dos montantes a reembolsar, assim como o apuramento dos montantes a pagar pelo subsistema de saúde às entidades prestadoras de cuidados de saúde e farmácias.";"Despesas com entidades prestadoras de cuidados de saúde como hospitais, clínicas, médicos e outros prestadores particulares que tenham acordo/convenção com a Direção-Geral de Proteção Social aos Trabalhadores em Funções Públicas (ADSE)#
Despesas na comparticipação em medicamentos em farmácias#";;A comparticipação em despesas de saúde aos beneficiários de subsistemas de saúde deve ser considerada em 350.10.506 – Comparticipação em despesas de saúde ao beneficiário#;"DL 118/83#
DL 234/2005#";DL 118/83 (atualizado pelo DL 234/2005)#;PE;N;"ESPS#
AL#";;;"150.20.404#
300.10.008#
350.10.600#
350.30.001#
350.30.003#
350.30.004#
500.10.001#
700#";"Prestação de contas#
Estabelecimento de convenções com operadores privados#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#
Controlo sistemático de numerário e valores#
Movimentação de contas bancárias#
Realização de auditorias#
Prestação de cuidados de saúde#";"Síntese (sintetizado)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Suplementar#
Sucessão (sucessor)#";Reduzida;S;10;;"#Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1);
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (no que diz respeito à atuação da Administração).";Data de conclusão do procedimento;Data de encerramento do processo.;E;"#Critério de densidade informacional:
Informação sintetizada no PN 150.20.404 - Prestação de contas.";;;

;350.10.508;Processamento de indemnizações e injunções;"Processamento de indemnizações e injunções por prejuízos causados no património público ou de particulares, resultantes de circunstâncias acidentais ou fortuitas, pelas quais o Estado é responsável ou ressarcido pelo dano sofrido, bem como de compensações devidas ao abrigo do regime jurídico de requalificação de trabalhadores em funções públicas.
Inicia com o pedido de pagamento feito pela entidade da Administração Pública ou pelo particular e termina com o apuramento do valor a indemnizar para reparação dos danos ou a pagar em compensação.
Inclui a análise do processo administrativo remetido pela entidade proponente, descrição do enquadramento factual, apuramento dos encargos e justificação orçamental.
";"Compensação de danos causados a terceiros e assumidos voluntariamente pelas entidades públicas#
Compensações devidas por aplicação do regime de gestão do pessoal em requalificação#
Compensação por prejuízos causados no património do Estado, provenientes de circunstâncias acidentais ou fortuitas#


";;;"Lei 35/2014#
DL 74/70#
";;PC;S;"SGMF#
EAARPNC#";AP#;Iniciar#;"150.20.404#
250.10.800#
250.20.401#
300.10.601#
350.10.509#
500.10.001#";"Prestação de contas#
Cessação da relação jurídica de emprego público#
Participação de acidentes de trabalho ou de doenças profissionais#
Requisição temporária de bens do domínio privado#
Processamento de remunerações#
Realização de auditorias#";"Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Cruzada#
Síntese (sintetizado)#
Suplementar#";Reduzida;S;10;;"#Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1);
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (no que diz respeito à atuação da Administração).

";Data de conclusão do procedimento;"Data de encerramento do processo.
";E;"#Critério de densidade informacional:
Informação sintetizada no PN 150.20.404 - Prestação de contas.";;;

;350.10.509;Processamento de remunerações;"Processamento de remunerações por trabalhador, integrando a apresentação da informação relativa a abonos e descontos.
Inicia com a verificação da assiduidade e termina com a liquidação do montante a pagar.
Inclui o apuramento de horas extraordinárias, de subsídio de residência, de subsídio de refeição, de alterações na remuneração, de penhoras de vencimento, de abono de família a crianças e jovens, de abonos para falhas e descontos (para a Segurança Social (SS), Caixa Geral de Aposentações (CGA), Direção-Geral de Proteção Social aos Funcionários e Agentes da Administração Pública (ADSE), entidades seguradoras e outras), Fundo de Estabilização Tributária (FET), Fundo de Estabilização Aduaneiro (FEA), entre outros.";"Senhas de presença#
Bolsa dos auditores de justiça (aos auditores de justiça com algum tipo de vínculo com o Estado, encontram-se em comissão de serviço e é-lhes pago o correspondente ao vencimento de origem, sendo que aos restantes, é-lhes paga a dita bolsa de formação sendo obrigados a um regime de exclusividade)#";;O pagamento deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#;Lei 35/2014#;;PC;N;AP#;;;"150.20.404#
250.10.400#
250.10.401#
250.10.500#
250.10.600#
250.10.601#
250.20.200#
250.20.201#
250.20.400#
250.20.401#
250.20.402#
250.20.403#
250.20.404#
250.20.600#
250.20.601#
250.20.604#
250.20.605#
250.20.800#
250.20.803#
350.10.501#
350.10.502#
350.10.508#
350.10.600#";"Prestação de contas#
Nomeação para cargos de direção, coordenação e controlo#
Nomeação para postos de trabalho#
Designação para cargos ou funções de confiança ou de interesse público#
Contratação de trabalhadores#
Formalização de estágios profissionais#
Processamento de pedidos de horário de trabalho especial#
Processamento de pedidos de trabalho extraordinário#
Controlo de assiduidade e pontualidade#
Participação de acidentes de trabalho ou de doenças profissionais#
Processamento de férias#
Processamento de licenças de ausência ao serviço#
Processamento de pedidos de estatuto de bolseiro#
Afetação transitória a postos de trabalho (mobilidade geral)#
Alteração de posicionamento remuneratório#
Processamento de pedidos de reclassificação profissional#
Acompanhamento dos trabalhadores em situação de requalificação#
Avaliação individual do desempenho#
Atribuição de prémios de desempenho, louvores ou medalhas#
Liquidação de contribuições para o sistema de proteção da saúde#
Liquidação de contribuições para a segurança social e aposentação#
Processamento de indemnizações e injunções#
Lançamento de receitas e de despesas#";"Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Cruzada#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#";Elevada;S;55;;"#Critério legal:
A alínea a) do nº 7 do artº 261 da [Lei 35/2014] - Lei Geral do Trabalho em Funções Públicas - relativo à remuneração do trabalhador em situação de compensação: «7 — Durante o processo de requalificação, caso esteja a, pelo menos, cinco anos da idade legal da reforma, o trabalhador pode ainda requerer a qualquer momento a cessação do vínculo, por mútuo acordo, nos termos da presente lei, sem prejuízo do seguinte:
a base mensal por cada ano completo de antiguidade, comum máximo correspondente a 30 anos completos de antiguidade»;
#Critério de utilidade administrativa:
Definição de um prazo de vida ativa do trabalhador de 55 anos para processamento de PN decorrentes dos direitos e deveres adquiridos.";Data de conclusão do procedimento;"Data de encerramento do processo.
";E;"#Critério de densidade informacional:
Informação sintetizada no PN 150.20.404 - Prestação de contas.";;;

;350.10.510;Processamento de ajudas de custo e despesas de deslocações;"Processamento dos abonos de transportes, ajudas de custo, deslocações e estadas.
Inicia com o pedido de autorização e termina com a liquidação do montante a pagar.
Inclui o cálculo e o processamento das ajudas de custo e despesas de deslocação e elementos comprovativos.
";Despesas efetuadas por serviço externo e formação#;;O pagamento deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#;"DL 106/98#
DL 137/2010#";;PC;N;AP#;;;"150.20.404#
350.10.600#";"Prestação de contas#
Lançamento de receitas e de despesas#";"Síntese (sintetizado)#
Síntese (sintetizado)#";Média;S;10;;"#Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1);
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (no que diz respeito à atuação da Administração).

";Data de conclusão do procedimento;"Data de encerramento do processo.
";E;"#Critério de densidade informacional:
Informação sintetizada no PN 150.20.404 - Prestação de contas.";;;

;350.10.511;Restituição, reposição e reembolso de valores;"Apuramento de montantes a devolver, recebidos indevidamente ou a mais, efetivada por compensação, dedução em folha ou pagamento através da apresentação de guia, bem como o ressarcimento de valores por despesa com direito a restituição.
Inicia com o pedido de reposição ou reembolso ou com a iniciativa da entidade pública (traduzida na ordem de transferência ou na emissão do cheque) e termina com o averbamento do montante a restituir.
Inclui definição do modo de reposição, apresentação das guias de reposição abatidas (liquidadas no ano económico a que respeitam) e não abatidas (relativas a anos económicos anteriores), que se referem a reposições nos pagamentos relativos a fornecedores, trabalhadores e ex-trabalhadores, a apresentação de documentos da faturação referente à venda de bens ou serviços e o apuramento de valores, a comunicação ao serviço processador da restituição ou reembolso, a reativação de cheques.";"Devolução de valores de despesa de deslocações em serviço ou telefone, no caso de dirigentes#
Restituições e reembolsos de impostos, taxas, direitos aduaneiros e demais tributos#
Restituição e entrega de fundos de operações de tesouraria a estâncias aduaneiras#
Procedimento de reativação de cheques emitidos para restituição ou reembolso de montantes indevidos#
Restituição e reembolso de recursos próprios comunitários#";;"A comparticipação nos encargos com cuidados de saúde por adiantamento do beneficiário deve ser considerada em 350.10.506 – Comparticipação em despesas de saúde ao beneficiário#
Os reembolsos de valores que são calculados no processo de liquidação de impostos (ex: IRS, IRC, IVA,...), devem ser considerados nos respetivos processos de liquidação (350.10.100 – Liquidação de Imposto Sobre o Rendimento de Pessoas Singulares (IRS), 350.10.101 – Liquidação de Imposto Sobre o Rendimento de Pessoas Coletivas (IRC) e 350.10.300 – Liquidação de Imposto Sobre o Valor Acrescentado (IVA))#";DL 155/92#;;PC;N;AP#;;;"150.20.404#
350.10.513#
350.10.600#
350.30.001#
500.10.001#";"Prestação de contas#
Anulação de valores#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#
Realização de auditorias#";"Síntese (sintetizado)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Suplementar#";Reduzida;S;10;;"#Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1);
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (no que diz respeito à atuação da Administração).

";Data de conclusão do procedimento;Data de encerramento do processo.;E;"#Critério de densidade informacional:
Informação sintetizada no PN 150.20.404 - Prestação de contas.";;;

;350.10.513;Anulação de valores;"Processamento de anulações de valores, nomeadamente de impostos, taxas, direitos aduaneiros e demais tributos.
Inicia com o pedido de anulação apresentado pelo interessado ou com a iniciativa do serviço da administração pública e termina com a efetiva  anulação do montante total ou parcial objeto de liquidação.
Inclui todo o procedimento para a análise e cálculo das anulações.";;;;;;PC;S;AT#;AP#;Iniciar#;"150.20.404#
350.10.511#";"Prestação de contas#
Restituição, reposição e reembolso de valores#";"Síntese (sintetizado)#
Sucessão (sucessor)#";Reduzida;N;10;;"#Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1);
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (no que diz respeito à atuação da Administração).";Data de conclusão do procedimento;Data de encerramento do processo.;E;"#Critério de densidade informacional:
Informação sintetizada no PN 150.20.404 - Prestação de contas.";;;

;350.10.514;Liquidação de despesas decorrentes de acidentes escolares;"Processamento da despesa relativa a acidentes escolares.
Inicia com a análise e qualificação do acidente escolar e termina com a autorização das despesas.
Inclui a apresentação do boletim de acompanhamento médico, a declaração de formalidades, a relação de despesas e respetivos documentos de despesa.";;;;Portaria 413/99#;;PE;S;DGEstE#;EstE#;Iniciar#;"150.20.404#
300.10.005#
350.30.001#
700.20.300#
";"Prestação de contas#
Transação e transmissão de bens móveis não culturais e contratação de serviços#
Cobrança de receitas e pagamento de despesas#
Prestação de cuidados de emergência médica#";"Síntese (sintetizado)#
Sucessão (Antecede)#
Sucessão (Antecede)#
Sucessão (sucede)#";Média;S;10;;"#Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1);
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (no que diz respeito à atuação da Administração).";Data de conclusão do procedimento;Data de encerramento do processo.;E;"#Critério de densidade informacional:
Informação sintetizada no PN 150.20.404 - Prestação de contas.";;;

;"350.10.515



";Revisão de atos tributários;"Processamento da revisão de atos tributários pela entidade que os praticou.
Inicia com pedido do sujeito passivo, com fundamento em qualquer ilegalidade, ou com a iniciativa da administração tributária, com fundamento em erro imputável aos serviços, e termina com a notificação do resultado da revisão efetuada.
Inclui o exercício do direito de audição quando o pedido é objeto de indeferimento total ou parcial.";"Revisão da liquidação dos diversos tributos#
Revisão por erro na autoliquidação#";;A revisão do lucro tributável determinado por métodos indiretos deve ser considerada em 350.10.102 – Revisão do lucro tributável determinado por métodos indiretos#;DL 398/98#;DL 398/98, art 78#;PE;S;AT#;"SPE#
";Iniciar#;"150.20.404#
350.10.100#
350.10.101#
350.10.200#
350.10.201#
350.10.202#
350.10.203#
350.10.204#
350.10.205#
350.10.206#
350.10.300#
350.10.301#
500.10.001#";"Prestação de contas#
Liquidação de Imposto Sobre o Rendimento de Pessoas Singulares (IRS)#
Liquidação de Imposto Sobre o Rendimento de Pessoas Coletivas (IRC)#
Liquidação de Imposto Municipal Sobre Imóveis (IMI)#
Liquidação de Imposto Municipal Sobre Transmissões Onerosas de Imóveis (IMT)#
Liquidação de Contribuição Especial#
Liquidação de Imposto Único de Circulação (IUC)#
Liquidação de Imposto Sobre Veículos (ISV)#
Liquidação de Imposto de Selo (IS)#
Liquidação de Imposto de Selo Sobre Transmissões Gratuitas de Bens#
Liquidação de Imposto Sobre o Valor Acrescentado (IVA)#
Liquidação dos Impostos Especiais Sobre o Consumo#
Realização de auditorias#";"Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Suplementar#
";Média;S;"10







";;"#Critério legal:
[DL 433/99], CPPT, artº 27, nº 2 ""Os arquivos [procedimentos administrativos e processos judiciais tributários instaurados] são obrigatoriamente mantidos durante 10 anos (...)"".";Data de conclusão do procedimento;Data de encerramento do processo.;E;"#Critério de densidade informacional:
Informação sintetizada no PN 150.20.404 - Prestação de contas.";;;

;"350.10.516



";Apuramento dos recursos próprios tradicionais da União Europeia;"Processamento de informação com a determinação dos montantes de recursos próprios tradicionais (RPT) cobrados pelo Estado Português e que são receita da União Europeia, a colocar mensalmente à disposição da Comissão Europeia.
Inicia com a elaboração dos mapas de apuramento mensais pelas Alfândegas e termina com o envio dos mapas de apuramento nacionais.
Inclui a análise dos mapas elaborados pelas Alfândegas e a elaboração de mapas agregados referentes à contabilidade prevista em legislação comunitária para envio à DGO, bem como o acompanhamento/controlo do processo.";;;;Regulamento (CE, Euratom) 1150/2000#;Regulamento 1150/2000, art 17, nº 2 (CE, Euratom)#;PE;S;AT#;"IGCP#
DGO#";"Comunicar#
Comunicar#
";"150.20.404#
350.10.400#
350.10.517#
350.10.600#
350.30.001#";"Prestação de contas#
Liquidação dos direitos e demais imposições aduaneiras#
Dispensa de colocação à disposição da União Europeia de recursos próprios tradicionais#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#";"Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#";Média;S;"10







";;"#Critério legal:
[DL 433/99], CPPT, artº 27, nº 2 ""Os arquivos [procedimentos administrativos e processos judiciais tributários instaurados] são obrigatoriamente mantidos durante 10 anos (...)"".";Data de conclusão do procedimento;Data de encerramento do processo.;E;"#Critério de densidade informacional:
Informação síntese recuperável no PN 150.20.404 - Prestação de contas.";;;

;350.10.517;Dispensa de colocação à disposição da União Europeia de recursos próprios tradicionais;"Processamento de informação com a determinação dos montantes de recursos próprios tradicionais que não foi possível cobrar e pedido de dispensa da sua colocação à União Europeia, acompanhada da respetiva justificação.
Inicia com a comunicação da Alfândega, tendo por base a contabilidade aduaneira, do montante considerado ou declarado incobrável e termina com a comunicação da decisão da Comissão Europeia.
Inclui instrução, análise e acompanhamento de processos relativos a pedidos de dispensa de colocação à disposição de recursos próprios tradicionais apresentados por Portugal.
";;;A eventual recusa do pedido pela Comissão Europeia deve ser considerado em 600.30.650 – Ação em matéria comunitária#;Regulamento (CE, Euratom) 1150/2000#;Regulamento 1150/2000, art 17, nº 2 (CE, Euratom)#;PE;N;AT#;;;"150.20.404#
350.10.400#
350.10.516#
350.10.600#
350.30.001#";"Prestação de contas#
Liquidação dos direitos e demais imposições aduaneiras#
Apuramento dos recursos próprios tradicionais da União Europeia#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#";"Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Sucessão (antecessor)#";Média;S;10;;"#Critério legal:
[Regulamento (CE, Euratom) 1150/2000], artº 3;
[DL 433/99], CPPT, art 27º, nº 2 ""Os arquivos [procedimentos administrativos e processos judiciais tributários instaurados] são obrigatoriamente mantidos durante 10 anos(...)"".";Data de conclusão do procedimento;Data de encerramento do processo.;E;"#Critério de densidade informacional:
Informação síntese recuperável no PN 150.20.404 - Prestação de contas.";;;

