Estado;Código;Título;Descrição;Notas de aplicação;Exemplos de NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Normalização Forma de contagem do prazo de cons. adm.;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;;
;350.40.003;Estabilização e regularização da dívida pública;"Estabilização de oferta e procura de títulos de dívida pública no mercado secundário, através do Fundo de Regularização da Dívida Pública (FRDP), resultante de alienação de partes sociais que o Estado detém em quaisquer sociedades anónimas resultantes da transformação de empresas públicas em sociedades anónimas de maioria ou exclusivamente de capitais públicos.
Inicia com a aquisição de dívida e entrada de capitais oriundos das nacionalizações e termina com o abatimento da dívida.
";Regularização da procura e da oferta dos títulos da dívida pública no mercado secundário através do Fundo de Regularização da Dívida Pública (FRDP), bem como do Fundo da Renda Vitalícia#;;;"DL 158/96#
DL 2/95#
DL 236/93#
DL 324/90#
DL 453/88#
DL 43453/60#
RCM 8-A/2009#";Leis do Orçamento de Estado#;PE;N;IGCP#;;;"150.20.404#
350.10.600#
350.40.001#
350.40.002#
500.10.001#";"Prestação de contas#
Lançamento de receitas e de despesas#
Emissão e amortização da dívida pública em mercado primário#
Emissão e amortização da dívida pública em retalho#
Realização de auditorias#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Cruzada#
Suplementar#
";Elevada;S;10;;"#Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1);
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (no que diz respeito à atuação da Administração).

";Data de conclusão do procedimento;Data de encerramento do processo.;C;"#Critério de densidade informacional:
Informação detalhada não recuperável noutros PN.";;;

;350.40.200;Recuperação de créditos resultantes de empréstimos diretos do Estado e outras operações ativas;"Recuperação de créditos que resultam de empréstimos diretos do Estado e outras operações ativas.
Inicia com a comunicação do incumprimento contratual e termina com a regularização do crédito através do pagamento ou a confirmação da sua irrecuperabilidade.
Inclui contratos de reescalonamento de dívidas, planos de amortização, juros de mora, entre outros.
";Emréstimos concedidos a empresas e a países terceiros#;;;"Lei 26/2015#
Lei 98/97#
Lei 20/2015#
Lei 82-E/2014#
Lei 82/2014#
Lei 41/2013#
Lei 36/2015#
Lei 82-B/2014#
Lei 48/2006#
Declaração de Retificação 72/2006#
Declaração de Retificação 36/2013#
Lei 35/2007#";"Lei 98/97 retificada Lei 20/2015#
Lei 41/2013, retificada pela Declaração de Retificação 36/2013#
Lei 82-B/2014 (Lei do Orçamento)#
Lei 48/2006, retificada pela Declaração de Retificação 72/2006#";PE;S;DGTF#;"MP#
AT#
";"Apreciar#
Comunicar#
";"150.20.404#
350.10.600#
350.30.001#
500.10.001#
";"Prestação de contas#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#
Realização de auditorias#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Suplementar#
";Média;N;10;;"#Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1);
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (no que diz respeito à atuação da Administração).";Data de conclusão do procedimento;Data de encerramento do processo.;E;"#Critério de densidade informacional:
Informação sintetizada no PN 150.20.404 - Prestação de contas.";;;

;350.40.201;Recuperação de créditos resultantes da fiança ou aval do Estado;"Recuperação de créditos resultantes da execução de garantias prestadas pelo Estado, diretamente ou através de outras entidades de coordenação económica.
Inicia com o pagamento pelo Estado em execução de aval ou fiança e termina com a regularização do crédito através do pagamento ou a confirmação da sua irrecuperabilidade.
Inclui planos de pagamento, pedidos de alteração de planos de pagamentos, participações de incumprimento, verificação técnica dos motivos dos incumprimentos, estudo das possibilidades de regularização do crédito e de viabilidade das empresas devedoras, pedidos de execução das garantias prestadas pelo Estado, despachos de autorização de pagamento pelo Estado às entidades bancárias.";Todos os casos resultantes de incumprimento de fianças ou aval do Estado#;;;"Lei 98/97#
Lei 20/2015#
Lei 26/2015#
Lei 82-B/2014#
Lei 82-E/2014#
Lei 82/2014#
Lei 41/2013#
Declaração de Retificação 36/2013#
Declaração de Retificação 72/2006#
Lei 48/2006#
Lei 35/2007#";"Lei 98/97, retificada pela Lei 20/2015#
Lei 82-B/2014 (Lei do Orçamento)#
Lei 41/2013, retificada pela Lei 36/2013#";PE;S;DGTF#;"MP#
AT#
";"Apreciar#
Comunicar#
";"150.20.404#
350.10.600#
350.30.001#
500.10.001#";"Prestação de contas#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#
Realização de auditorias#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Suplementar#
";Média;N;10;;"#Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1);
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (no que diz respeito à atuação da Administração).
";Data de conclusão do procedimento;Data de encerramento do processo.;E;"#Critério de densidade informacional:
Informação sintetizada no PN 150.20.404 - Prestação de contas.";;;

;350.40.202;Recuperação de créditos adquiridos;"Recuperação de créditos transferidos para a titularidade do Estado por aquisição ou dação em pagamento.
Inicia com o contrato de aquisição/cessão de créditos e termina com a regularização do crédito através do pagamento ou a confirmação da sua irrecuperabilidade.
Inclui contratos, relações das dívidas, pedidos de regularização da dívida, decisões proferidas sobre a regularização da dívida, planos prestacionais da dívida, expediente com os devedores, serviços de finanças, tribunais, Segurança Social, administradores de insolvência, assim como informações dos serviços relacionadas com os créditos adquiridos.

";Créditos adquiridos à Segurança Social#;;;"Lei 26/2015#
Lei 98/97#
Lei 20/2015#
Lei 35/2007#
Lei 82-E/2014#
Lei 82-B/2014#
Lei 82/2014#
Lei 41/2013#
Declaração de Retificação 36/2013#
Declaração de Retificação 72/2006#";"Lei 98/97, retificada Lei 20/2015#
Lei 82-B/2014 (Lei do Orçamento)#
Lei 41/2013, retificada pela Declaração de Retificação 36/2013#
Lei 48/2006, retificada pela Declaração de Retificação 72/2006#";PE;S;DGTF#;"MP#
AT#
";"Apreciar#
Comunicar#
";"150.20.404#
350.10.600#
350.30.001#
500.10.001#";"Prestação de contas#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#
Realização de auditorias#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Suplementar#";Média;N;10;;"#Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1);
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (no que diz respeito à atuação da Administração).

";Data de conclusão do procedimento;Data de encerramento do processo.;E;"#Critério de densidade informacional:
Informação sintetizada no PN 150.20.404 - Prestação de contas.";;;

;350.40.203;Recuperação de créditos resultantes da concessão de incentivos financeiros;"Regularização voluntária de créditos relativos a apoios financeiros recebidos ao abrigo da execução de programas de incentivo, já considerados incobráveis.
Inicia com a proposta para recuperação do crédito e termina com a regularização do crédito através do pagamento ou a confirmação da sua irrecuperabilidade pela via voluntária.
Inclui instrução do processo para decisão de recuperação de crédito com apresentação do comprovativo da dívida, decisão para recuperação, articulação com o devedor para definição do plano de pagamento de reposição voluntária e eventual reestruturação de plano de reembolso, controlo do pagamento.

 
";"Restituição de apoios financeiros concedidos no âmbito do emprego e da formação, por incumprimento das entidades beneficiárias#
Restituição de apoios financeiros concedidos a empresas beneficiárias do Programa SIII#
";;"Os pagamentos devem ser classificados em 350.30.001 – Cobrança de receitas e pagamento de despesas#
A recuperação coerciva de créditos deve ser considerada em 600 – Administração da Justiça#
";;;PE;N;DGTF#;;;"150.20.404#
500.10.001#";"Prestação de contas#
Realização de auditorias#";"Síntese (sintetizado)#
Suplementar#";Média;S;10;;"#Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1);
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (no que diz respeito à atuação da Administração).

";Data de conclusão do procedimento;Data de encerramento do processo.;E;"#Critério de densidade informacional:
Informação sintetizada no PN 150.20.404 - Prestação de contas.";;;

;350.40.204;Recuperação de créditos transferidos de organismos extintos;"Regularização voluntária de créditos transmitidos de organismos extintos.
Inicia com a proposta para recuperação do crédito e termina com a regularização do crédito através do pagamento ou a confirmação da sua irrecuperabilidade pela via voluntária.
Inclui instrução do processo para decisão de recuperação de crédito, com análise do auto de entrega referente ao organismo extinto e dos comprovativos de dívida, constituição de hipotecas, decisão para recuperação, articulação com os devedores e outras entidades envolvidas, controlo do pagamento.

";"Recuperação de créditos transferidos para o IEFP, I.P. por extinção dos Centros de Gestão Participada#
Processos transmitidos do FFH, IPE, CIFRE, EPAC, Programa do Crédito Agrícola de Emergência (CAE), entre outros#";;"Os pagamentos devem ser classificados em 350.30.001 – Cobrança de receitas e pagamento de despesas#
A recuperação coerciva de créditos deve ser considerada em 600 – Administração da Justiça#
";;;PE;N;"DGTF#
AL#
";;;"150.20.404#
150.20.401#
500.10.001#";"Prestação de contas#
Acompanhamento de liquidação de entidades#
Realização de auditorias#";"Síntese (sintetizado)#
Cruzada#
Suplementar#";Média;S;10;;"#Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1);
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (no que diz respeito à atuação da Administração).";Data de conclusão do procedimento;Data de encerramento do processo.;E;"#Critério de densidade informacional:
Informação sintetizada no PN 150.20.404 - Prestação de contas.";;;

;350.40.400;Concessão, gestão e execução de empréstimos;"Concessão e administração de empréstimos a entidades internas e externas e a respetiva execução.
Inicia com o pedido de financiamento ao Estado por parte de determinada entidade e termina após a amortização/conversão em capital/perdão de dívida.

";;;;Lei 4/2006#;Lei do Orçamento do Estado#;PE;S;"DGTF#
AL#
SPE#";DGAL#;Comunicar#;"150.20.404#
350.10.600#
350.30.001#
500.10.001#";"Prestação de contas#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#
Realização de auditorias#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Suplementar#
";Média;N;10;;"#Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1);
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (no que diz respeito à atuação da Administração).";Data de conclusão do procedimento;Data de encerramento do processo.;E;"#Critério de densidade informacional:
Informação sintetizada no PN 150.20.404 - Prestação de contas.";;;

;350.40.401;Contração e amortização de empréstimos;"Empréstimo de montantes financeiros quer entre a administração e um banco, quer entre administrações, quer ainda entre o Estado e empresas ou particulares.
Inicia com a autorização de contração de empréstimo e termina com o pagamento do empréstimo.
Inclui a solicitação de propostas e seleção.";;;"A arrecadação do valor do empréstimo, a transferência de verbas, bem como o pagamento para amortização parcial ou total do seu valor, devem ser considerados em 350.30.001 – Cobrança de receitas e pagamento de despesas#
A verificação do contrato pelo Tribunal de Contas deve ser considerada em 500.10.002 – Fiscalização prévia do Tribunal de Contas#";Lei 73/2013#;;PE;S;"DGTF#
AL#
SPE#";DGAL#;Comunicar#;"150.20.404#
500.10.001#
500.10.002#";"Prestação de contas#
Realização de auditorias#
Fiscalização prévia do Tribunal de Contas#";"Síntese (sintetizado)#
Suplementar#
Cruzada#";Média;N;10;;"#Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1);
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (no que diz respeito à atuação da Administração).

";Data de conclusão do procedimento;Data de encerramento do processo.;C;"#Critério de densidade informacional:
Informação detalhada não recuperável noutros PN.";;;

;350.40.600;Assunção de responsabilidades;"Assunção de responsabilidades pelo Estado para com organismos públicos e empresas públicas e participadas.
Inicia com o diploma que determina a assunção de responsabilidades pelo Estado e termina com o pagamento a entidade terceira.
Inclui a situação financeira das entidades objeto da regularização de passivos e propostas dos serviços propondo a regularização de dívidas.
";Processos de saneamento económico-financeiro de sociedades anónimas de capitais públicos, de empresas em liquidação#;;;"DL 133/2013#
DL 262/86#";;PE;S;DGTF#;"SPE#
";"Comunicar#
";"150.20.404#
350.10.600#
350.30.001#
350.40.602#
500.10.001#";"Prestação de contas#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#
Liquidação de entidades#
Realização de auditorias#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Cruzada#
Suplementar#";Média;N;10;;"#Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1);
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (no que diz respeito à atuação da Administração).

";Data de conclusão do procedimento;Data de encerramento do processo.;E;"#Critério de densidade informacional:
Informação sintetizada no PN 150.20.404 - Prestação de contas.";;;

;350.40.601;Arrecadação de dividendos;"Distribuição de remunerações provenientes das participações acionistas detidas diretamente pelo Estado.
Inicia com o apuramento de montantes e termina com a aprovação dos montantes a distribuir.
Inclui recolha de estimativas para efeitos da preparação do Orçamento do Estado, posterior elaboração de informação de análise do Relatório e Contas das EP e das SA das participações diretas, para efeito da apresentação de projeto de despacho relativo aos montantes de dividendos a distribuir.";;;A arrecadação das receitas proveniente de dividendos ou de remuneração do capital estatutário deve ser considerada em 350.30.001 – Cobrança de receitas e pagamento de despesas#;DL 262/86#;;PE;S;DGTF#;"SPE#
";"Comunicar#
";"150.20.404#
350.10.600#
350.30.001#
500.10.001#
";"Prestação de contas#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#
Realização de auditorias#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Suplementar#";Elevada;S;10;;"#Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1);
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (no que diz respeito à atuação da Administração).";Data de conclusão do procedimento;Data de encerramento do processo.;E;"#Critério de densidade informacional:
Informação sintetizada no PN 150.20.404 - Prestação de contas.";;;

;350.40.602;"Liquidação de entidades
";"Cálculo dos ativos e passivos na sequência da dissolução ou extinção de uma sociedade comercial ou de entidade sem fins lucrativos, e repartição de lucros e prejuízos pelos seus sócios ou acionistas.
Inicia com o requerimento dos interessados ou no âmbito de outro procedimento administrativo e termina com o registo do encerramento da liquidação.
Inclui indicação dos liquidatários, informação sobre o pagamento das dívidas da sociedade, informação sobre a partilha do ativo após pagamento aos credores, comunicação do facto às entidades competentes.";"Liquidação de associações#
Liquidação de fundações#
Liquidação de outras entidades sem fins lucrativos#
Liquidação de sociedades comerciais, na sequência da sua extinção#";;"O pagamento de dívidas deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#
O acompanhamento, no âmbito da função acionista do Estado e do exercício da tutela financeira, de liquidação de sociedades e outras entidades públicas deve ser considerado em 150.20.401 – Acompanhamento de liquidação de entidades#";DL 262/86#;Diploma específico de dissolução da entidade#;PE;S;SPE#;"DGTF#
AL#
";"Apreciar#
Apreciar#
";"150.20.401#
150.10.601#
150.20.404#
300.30.004#
350.40.600#
500.10.001#";"Acompanhamento de liquidação de entidades#
Caracterização de entidades para apoio à definição de políticas#
Prestação de contas#
Inventariação do património financeiro#
Assunção de responsabilidades#
Realização de auditorias#";"Síntese (sintetizado)#
Cruzada#
Síntese (sintetizado)#
Cruzada#
Cruzada#
Suplementar#";Reduzida;S;10;;"#Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1);
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (no que diz respeito à atuação da Administração).";Data de conclusão do procedimento;Data de encerramento do processo.;E;"#Critério de densidade informacional:
Informação sintetizada no PN 150.20.401 - Acompanhamento de liquidação de entidades; PN 150.20.404 - Prestação de contas.";;;

;350.40.603;Regularização de responsabilidades do Estado;"Regularização de situações do passivo do Estado, tal como o pagamento à Segurança Social de encargos com os pensionistas e reformados das ex-províncias ultramarinas, previstas em norma específica na Lei Orçamental ou em diploma especial, bem como de outras responsabilidades que lhe foram legalmente transmitidas.
Inicia com a assunção de responsabilidades e termina com a regularização da responsabilidade do Estado.

";Pgamentos em execução de garantia do Estado concedida no âmbito do código das expropriações#;;;DL 335/90#;Leis do Orçamento do Estado#;PE;S;DGTF#;IGFSS#;"Comunicar#
";"150.20.404#
350.10.600#
350.30.001#
500.10.001#
";"Prestação de contas#
Lançamento de receitas e de despesas#
Cobrança de receitas e pagamento de despesas#
Realização de auditorias#
";"Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Suplementar#";Média;S;10;;"#Critério legal:
Prazo prescricional da responsabilidade financeira reintegratória ([Lei 98/97], artº 70, nº 1);
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.001 (no que diz respeito à atuação da Administração).";Data de conclusão do procedimento;Data de encerramento do processo.;E;"#Critério de densidade informacional:
Informação sintetizada no PN 150.20.404 - Prestação de contas.";;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;

